,filename,fold,target,category,esc10,src_file,take
197,['1-39923-A-1.wav'],1,[7],['rooster'],[True],[39923],['A']
201,['1-40730-A-1.wav'],1,[7],['rooster'],[True],[40730],['A']
204,['1-4211-A-12.wav'],1,[2],['crackling_fire'],[True],[4211],['A']
205,['1-42139-A-38.wav'],1,[1],['clock_tick'],[True],[42139],['A']
206,['1-43382-A-1.wav'],1,[7],['rooster'],[True],[43382],['A']
207,['1-43760-A-11.wav'],1,[8],['sea_waves'],[True],[43760],['A']
213,['1-44831-A-1.wav'],1,[7],['rooster'],[True],[44831],['A']
217,['1-46272-A-12.wav'],1,[2],['crackling_fire'],[True],[46272],['A']
223,['1-47250-A-41.wav'],1,[0],['chainsaw'],[True],[47250],['A']
224,['1-47250-B-41.wav'],1,[0],['chainsaw'],[True],[47250],['B']
225,['1-47273-A-21.wav'],1,[9],['sneezing'],[True],[47273],['A']
226,['1-47274-A-21.wav'],1,[9],['sneezing'],[True],[47274],['A']
234,['1-48413-A-38.wav'],1,[1],['clock_tick'],[True],[48413],['A']
238,['1-50060-A-10.wav'],1,[6],['rain'],[True],[50060],['A']
271,['1-54505-A-21.wav'],1,[9],['sneezing'],[True],[54505],['A']
276,['1-54958-A-10.wav'],1,[6],['rain'],[True],[54958],['A']
281,['1-56311-A-10.wav'],1,[6],['rain'],[True],[56311],['A']
285,['1-57163-A-38.wav'],1,[1],['clock_tick'],[True],[57163],['A']
295,['1-59324-A-21.wav'],1,[9],['sneezing'],[True],[59324],['A']
296,['1-59513-A-0.wav'],1,[4],['dog'],[True],[59513],['A']
300,['1-60997-A-20.wav'],1,[3],['crying_baby'],[True],[60997],['A']
301,['1-60997-B-20.wav'],1,[3],['crying_baby'],[True],[60997],['B']
304,['1-61252-A-11.wav'],1,[8],['sea_waves'],[True],[61252],['A']
310,['1-62849-A-38.wav'],1,[1],['clock_tick'],[True],[62849],['A']
311,['1-62850-A-38.wav'],1,[1],['clock_tick'],[True],[62850],['A']
313,['1-63871-A-10.wav'],1,[6],['rain'],[True],[63871],['A']
314,['1-64398-A-41.wav'],1,[0],['chainsaw'],[True],[64398],['A']
315,['1-64398-B-41.wav'],1,[0],['chainsaw'],[True],[64398],['B']
330,['1-7057-A-12.wav'],1,[2],['crackling_fire'],[True],[7057],['A']
366,['1-81883-A-21.wav'],1,[9],['sneezing'],[True],[81883],['A']
375,['1-85362-A-0.wav'],1,[4],['dog'],[True],[85362],['A']
383,['1-91359-A-11.wav'],1,[8],['sea_waves'],[True],[91359],['A']
384,['1-91359-B-11.wav'],1,[8],['sea_waves'],[True],[91359],['B']
392,['1-97392-A-0.wav'],1,[4],['dog'],[True],[97392],['A']
401,['2-100786-A-1.wav'],2,[7],['rooster'],[True],[100786],['A']
402,['2-101676-A-10.wav'],2,[6],['rain'],[True],[101676],['A']
418,['2-102852-A-11.wav'],2,[8],['sea_waves'],[True],[102852],['A']
445,['2-107351-A-20.wav'],2,[3],['crying_baby'],[True],[107351],['A']
446,['2-107351-B-20.wav'],2,[3],['crying_baby'],[True],[107351],['B']
465,['2-109505-A-21.wav'],2,[9],['sneezing'],[True],[109505],['A']
478,['2-114280-A-0.wav'],2,[4],['dog'],[True],[114280],['A']
479,['2-114587-A-0.wav'],2,[4],['dog'],[True],[114587],['A']
482,['2-116400-A-0.wav'],2,[4],['dog'],[True],[116400],['A']
484,['2-117271-A-0.wav'],2,[4],['dog'],[True],[117271],['A']
493,['2-117625-A-10.wav'],2,[6],['rain'],[True],[117625],['A']
496,['2-118072-A-0.wav'],2,[4],['dog'],[True],[118072],['A']
497,['2-118104-A-21.wav'],2,[9],['sneezing'],[True],[118104],['A']
503,['2-118964-A-0.wav'],2,[4],['dog'],[True],[118964],['A']
504,['2-119102-A-21.wav'],2,[9],['sneezing'],[True],[119102],['A']
509,['2-119748-A-38.wav'],2,[1],['clock_tick'],[True],[119748],['A']
521,['2-122104-A-0.wav'],2,[4],['dog'],[True],[122104],['A']
522,['2-122104-B-0.wav'],2,[4],['dog'],[True],[122104],['B']
531,['2-124662-A-11.wav'],2,[8],['sea_waves'],[True],[124662],['A']
535,['2-125966-A-11.wav'],2,[8],['sea_waves'],[True],[125966],['A']
538,['2-127108-A-38.wav'],2,[1],['clock_tick'],[True],[127108],['A']
542,['2-128631-A-21.wav'],2,[9],['sneezing'],[True],[128631],['A']
544,['2-130978-A-21.wav'],2,[9],['sneezing'],[True],[130978],['A']
545,['2-130979-A-21.wav'],2,[9],['sneezing'],[True],[130979],['A']
546,['2-131943-A-38.wav'],2,[1],['clock_tick'],[True],[131943],['A']
547,['2-132157-A-11.wav'],2,[8],['sea_waves'],[True],[132157],['A']
548,['2-132157-B-11.wav'],2,[8],['sea_waves'],[True],[132157],['B']
549,['2-133863-A-11.wav'],2,[8],['sea_waves'],[True],[133863],['A']
552,['2-134700-A-38.wav'],2,[1],['clock_tick'],[True],[134700],['A']
557,['2-135728-A-38.wav'],2,[1],['clock_tick'],[True],[135728],['A']
559,['2-137162-A-11.wav'],2,[8],['sea_waves'],[True],[137162],['A']
565,['2-140147-A-38.wav'],2,[1],['clock_tick'],[True],[140147],['A']
568,['2-141584-A-38.wav'],2,[1],['clock_tick'],[True],[141584],['A']
577,['2-151079-A-20.wav'],2,[3],['crying_baby'],[True],[151079],['A']
582,['2-155801-A-11.wav'],2,[8],['sea_waves'],[True],[155801],['A']
600,['2-18766-A-12.wav'],2,[2],['crackling_fire'],[True],[18766],['A']
601,['2-18766-B-12.wav'],2,[2],['crackling_fire'],[True],[18766],['B']
602,['2-188822-A-40.wav'],2,[5],['helicopter'],[True],[188822],['A']
603,['2-188822-B-40.wav'],2,[5],['helicopter'],[True],[188822],['B']
604,['2-188822-C-40.wav'],2,[5],['helicopter'],[True],[188822],['C']
605,['2-188822-D-40.wav'],2,[5],['helicopter'],[True],[188822],['D']
620,['2-28314-A-12.wav'],2,[2],['crackling_fire'],[True],[28314],['A']
621,['2-28314-B-12.wav'],2,[2],['crackling_fire'],[True],[28314],['B']
622,['2-30322-A-12.wav'],2,[2],['crackling_fire'],[True],[30322],['A']
623,['2-30322-B-12.wav'],2,[2],['crackling_fire'],[True],[30322],['B']
629,['2-37806-A-40.wav'],2,[5],['helicopter'],[True],[37806],['A']
630,['2-37806-B-40.wav'],2,[5],['helicopter'],[True],[37806],['B']
631,['2-37806-C-40.wav'],2,[5],['helicopter'],[True],[37806],['C']
632,['2-37806-D-40.wav'],2,[5],['helicopter'],[True],[37806],['D']
643,['2-50665-A-20.wav'],2,[3],['crying_baby'],[True],[50665],['A']
644,['2-50666-A-20.wav'],2,[3],['crying_baby'],[True],[50666],['A']
645,['2-50667-A-41.wav'],2,[0],['chainsaw'],[True],[50667],['A']
646,['2-50667-B-41.wav'],2,[0],['chainsaw'],[True],[50667],['B']
647,['2-50668-A-41.wav'],2,[0],['chainsaw'],[True],[50668],['A']
648,['2-50668-B-41.wav'],2,[0],['chainsaw'],[True],[50668],['B']
674,['2-61311-A-12.wav'],2,[2],['crackling_fire'],[True],[61311],['A']
681,['2-65747-A-12.wav'],2,[2],['crackling_fire'],[True],[65747],['A']
682,['2-65750-A-1.wav'],2,[7],['rooster'],[True],[65750],['A']
684,['2-66637-A-20.wav'],2,[3],['crying_baby'],[True],[66637],['A']
685,['2-66637-B-20.wav'],2,[3],['crying_baby'],[True],[66637],['B']
687,['2-68391-A-41.wav'],2,[0],['chainsaw'],[True],[68391],['A']
688,['2-68391-B-41.wav'],2,[0],['chainsaw'],[True],[68391],['B']
702,['2-71162-A-1.wav'],2,[7],['rooster'],[True],[71162],['A']
710,['2-72970-A-10.wav'],2,[6],['rain'],[True],[72970],['A']
711,['2-73027-A-10.wav'],2,[6],['rain'],[True],[73027],['A']
713,['2-73260-A-10.wav'],2,[6],['rain'],[True],[73260],['A']
725,['2-77945-A-41.wav'],2,[0],['chainsaw'],[True],[77945],['A']
726,['2-77945-B-41.wav'],2,[0],['chainsaw'],[True],[77945],['B']
736,['2-80482-A-20.wav'],2,[3],['crying_baby'],[True],[80482],['A']
740,['2-81270-A-1.wav'],2,[7],['rooster'],[True],[81270],['A']
741,['2-81731-A-10.wav'],2,[6],['rain'],[True],[81731],['A']
749,['2-82367-A-10.wav'],2,[6],['rain'],[True],[82367],['A']
751,['2-82538-A-21.wav'],2,[9],['sneezing'],[True],[82538],['A']
770,['2-87781-A-10.wav'],2,[6],['rain'],[True],[87781],['A']
774,['2-88724-A-38.wav'],2,[1],['clock_tick'],[True],[88724],['A']
780,['2-93030-A-21.wav'],2,[9],['sneezing'],[True],[93030],['A']
783,['2-95035-A-1.wav'],2,[7],['rooster'],[True],[95035],['A']
784,['2-95258-A-1.wav'],2,[7],['rooster'],[True],[95258],['A']
785,['2-95258-B-1.wav'],2,[7],['rooster'],[True],[95258],['B']
789,['2-96460-A-1.wav'],2,[7],['rooster'],[True],[96460],['A']
821,['3-104632-A-12.wav'],3,[2],['crackling_fire'],[True],[104632],['A']
824,['3-104958-A-12.wav'],3,[2],['crackling_fire'],[True],[104958],['A']
828,['3-107219-A-1.wav'],3,[7],['rooster'],[True],[107219],['A']
850,['3-116135-A-1.wav'],3,[7],['rooster'],[True],[116135],['A']
861,['3-118656-A-41.wav'],3,[0],['chainsaw'],[True],[118656],['A']
862,['3-118657-A-41.wav'],3,[0],['chainsaw'],[True],[118657],['A']
863,['3-118657-B-41.wav'],3,[0],['chainsaw'],[True],[118657],['B']
864,['3-118658-A-41.wav'],3,[0],['chainsaw'],[True],[118658],['A']
865,['3-118658-B-41.wav'],3,[0],['chainsaw'],[True],[118658],['B']
866,['3-118972-A-41.wav'],3,[0],['chainsaw'],[True],[118972],['A']
867,['3-118972-B-41.wav'],3,[0],['chainsaw'],[True],[118972],['B']
877,['3-120644-A-12.wav'],3,[2],['crackling_fire'],[True],[120644],['A']
913,['3-132852-A-10.wav'],3,[6],['rain'],[True],[132852],['A']
915,['3-134049-A-1.wav'],3,[7],['rooster'],[True],[134049],['A']
923,['3-136288-A-0.wav'],3,[4],['dog'],[True],[136288],['A']
926,['3-137152-A-1.wav'],3,[7],['rooster'],[True],[137152],['A']
937,['3-140774-A-10.wav'],3,[6],['rain'],[True],[140774],['A']
941,['3-141684-A-21.wav'],3,[9],['sneezing'],[True],[141684],['A']
942,['3-142005-A-10.wav'],3,[6],['rain'],[True],[142005],['A']
943,['3-142006-A-10.wav'],3,[6],['rain'],[True],[142006],['A']
945,['3-142593-A-38.wav'],3,[1],['clock_tick'],[True],[142593],['A']
946,['3-142601-A-21.wav'],3,[9],['sneezing'],[True],[142601],['A']
948,['3-142605-A-21.wav'],3,[9],['sneezing'],[True],[142605],['A']
949,['3-143119-A-21.wav'],3,[9],['sneezing'],[True],[143119],['A']
952,['3-143929-A-10.wav'],3,[6],['rain'],[True],[143929],['A']
953,['3-143933-A-38.wav'],3,[1],['clock_tick'],[True],[143933],['A']
954,['3-144028-A-0.wav'],3,[4],['dog'],[True],[144028],['A']
962,['3-144692-A-21.wav'],3,[9],['sneezing'],[True],[144692],['A']
963,['3-144827-A-11.wav'],3,[8],['sea_waves'],[True],[144827],['A']
964,['3-144827-B-11.wav'],3,[8],['sea_waves'],[True],[144827],['B']
967,['3-145382-A-1.wav'],3,[7],['rooster'],[True],[145382],['A']
972,['3-145774-A-12.wav'],3,[2],['crackling_fire'],[True],[145774],['A']
982,['3-147965-A-12.wav'],3,[2],['crackling_fire'],[True],[147965],['A']
984,['3-148330-A-21.wav'],3,[9],['sneezing'],[True],[148330],['A']
987,['3-149189-A-1.wav'],3,[7],['rooster'],[True],[149189],['A']
990,['3-150231-A-21.wav'],3,[9],['sneezing'],[True],[150231],['A']
991,['3-150363-A-38.wav'],3,[1],['clock_tick'],[True],[150363],['A']
992,['3-150979-A-40.wav'],3,[5],['helicopter'],[True],[150979],['A']
993,['3-150979-B-40.wav'],3,[5],['helicopter'],[True],[150979],['B']
994,['3-150979-C-40.wav'],3,[5],['helicopter'],[True],[150979],['C']
995,['3-151080-A-20.wav'],3,[3],['crying_baby'],[True],[151080],['A']
996,['3-151081-A-20.wav'],3,[3],['crying_baby'],[True],[151081],['A']
997,['3-151081-B-20.wav'],3,[3],['crying_baby'],[True],[151081],['B']
1007,['3-152007-A-20.wav'],3,[3],['crying_baby'],[True],[152007],['A']
1008,['3-152007-B-20.wav'],3,[3],['crying_baby'],[True],[152007],['B']
1009,['3-152007-C-20.wav'],3,[3],['crying_baby'],[True],[152007],['C']
1010,['3-152007-D-20.wav'],3,[3],['crying_baby'],[True],[152007],['D']
1011,['3-152007-E-20.wav'],3,[3],['crying_baby'],[True],[152007],['E']
1026,['3-154926-A-40.wav'],3,[5],['helicopter'],[True],[154926],['A']
1027,['3-154926-B-40.wav'],3,[5],['helicopter'],[True],[154926],['B']
1028,['3-154957-A-1.wav'],3,[7],['rooster'],[True],[154957],['A']
1031,['3-155312-A-0.wav'],3,[4],['dog'],[True],[155312],['A']
1040,['3-155642-A-11.wav'],3,[8],['sea_waves'],[True],[155642],['A']
1041,['3-155642-B-11.wav'],3,[8],['sea_waves'],[True],[155642],['B']
1046,['3-156558-A-21.wav'],3,[9],['sneezing'],[True],[156558],['A']
1050,['3-157149-A-10.wav'],3,[6],['rain'],[True],[157149],['A']
1051,['3-157187-A-12.wav'],3,[2],['crackling_fire'],[True],[157187],['A']
1052,['3-157487-A-10.wav'],3,[6],['rain'],[True],[157487],['A']
1054,['3-157615-A-10.wav'],3,[6],['rain'],[True],[157615],['A']
1055,['3-157695-A-0.wav'],3,[4],['dog'],[True],[157695],['A']
1058,['3-158476-A-12.wav'],3,[2],['crackling_fire'],[True],[158476],['A']
1071,['3-163288-A-1.wav'],3,[7],['rooster'],[True],[163288],['A']
1072,['3-163459-A-0.wav'],3,[4],['dog'],[True],[163459],['A']
1076,['3-164120-A-11.wav'],3,[8],['sea_waves'],[True],[164120],['A']
1084,['3-164630-A-11.wav'],3,[8],['sea_waves'],[True],[164630],['A']
1085,['3-164688-A-38.wav'],3,[1],['clock_tick'],[True],[164688],['A']
1086,['3-165856-A-41.wav'],3,[0],['chainsaw'],[True],[165856],['A']
1091,['3-166422-A-11.wav'],3,[8],['sea_waves'],[True],[166422],['A']
1097,['3-170015-A-0.wav'],3,[4],['dog'],[True],[170015],['A']
1099,['3-170377-A-38.wav'],3,[1],['clock_tick'],[True],[170377],['A']
1100,['3-170383-A-38.wav'],3,[1],['clock_tick'],[True],[170383],['A']
1103,['3-171012-A-38.wav'],3,[1],['clock_tick'],[True],[171012],['A']
1104,['3-171041-A-38.wav'],3,[1],['clock_tick'],[True],[171041],['A']
1116,['3-180256-A-0.wav'],3,[4],['dog'],[True],[180256],['A']
1117,['3-180977-A-0.wav'],3,[4],['dog'],[True],[180977],['A']
1128,['3-187710-A-11.wav'],3,[8],['sea_waves'],[True],[187710],['A']
1169,['3-65748-A-12.wav'],3,[2],['crackling_fire'],[True],[65748],['A']
1170,['3-68630-A-40.wav'],3,[5],['helicopter'],[True],[68630],['A']
1171,['3-68630-B-40.wav'],3,[5],['helicopter'],[True],[68630],['B']
1172,['3-68630-C-40.wav'],3,[5],['helicopter'],[True],[68630],['C']
1230,['4-125929-A-40.wav'],4,[5],['helicopter'],[True],[125929],['A']
1267,['4-149294-A-41.wav'],4,[0],['chainsaw'],[True],[149294],['A']
1268,['4-149294-B-41.wav'],4,[0],['chainsaw'],[True],[149294],['B']
1285,['4-156843-A-21.wav'],4,[9],['sneezing'],[True],[156843],['A']
1286,['4-156844-A-21.wav'],4,[9],['sneezing'],[True],[156844],['A']
1289,['4-157297-A-21.wav'],4,[9],['sneezing'],[True],[157297],['A']
1290,['4-157611-A-41.wav'],4,[0],['chainsaw'],[True],[157611],['A']
1291,['4-157611-B-41.wav'],4,[0],['chainsaw'],[True],[157611],['B']
1298,['4-160999-A-10.wav'],4,[6],['rain'],[True],[160999],['A']
1305,['4-161127-A-10.wav'],4,[6],['rain'],[True],[161127],['A']
1309,['4-161579-A-40.wav'],4,[5],['helicopter'],[True],[161579],['A']
1310,['4-161579-B-40.wav'],4,[5],['helicopter'],[True],[161579],['B']
1311,['4-163264-A-10.wav'],4,[6],['rain'],[True],[163264],['A']
1317,['4-164021-A-1.wav'],4,[7],['rooster'],[True],[164021],['A']
1318,['4-164064-A-1.wav'],4,[7],['rooster'],[True],[164064],['A']
1319,['4-164064-B-1.wav'],4,[7],['rooster'],[True],[164064],['B']
1320,['4-164064-C-1.wav'],4,[7],['rooster'],[True],[164064],['C']
1321,['4-164206-A-10.wav'],4,[6],['rain'],[True],[164206],['A']
1323,['4-164661-A-12.wav'],4,[2],['crackling_fire'],[True],[164661],['A']
1324,['4-164661-B-12.wav'],4,[2],['crackling_fire'],[True],[164661],['B']
1325,['4-164859-A-1.wav'],4,[7],['rooster'],[True],[164859],['A']
1331,['4-165823-A-41.wav'],4,[0],['chainsaw'],[True],[165823],['A']
1332,['4-165823-B-41.wav'],4,[0],['chainsaw'],[True],[165823],['B']
1336,['4-166661-A-10.wav'],4,[6],['rain'],[True],[166661],['A']
1337,['4-167063-A-11.wav'],4,[8],['sea_waves'],[True],[167063],['A']
1338,['4-167063-B-11.wav'],4,[8],['sea_waves'],[True],[167063],['B']
1339,['4-167063-C-11.wav'],4,[8],['sea_waves'],[True],[167063],['C']
1340,['4-167077-A-20.wav'],4,[3],['crying_baby'],[True],[167077],['A']
1341,['4-167077-B-20.wav'],4,[3],['crying_baby'],[True],[167077],['B']
1342,['4-167077-C-20.wav'],4,[3],['crying_baby'],[True],[167077],['C']
1345,['4-167642-A-21.wav'],4,[9],['sneezing'],[True],[167642],['A']
1349,['4-169127-A-41.wav'],4,[0],['chainsaw'],[True],[169127],['A']
1350,['4-169127-B-41.wav'],4,[0],['chainsaw'],[True],[169127],['B']
1353,['4-170078-A-1.wav'],4,[7],['rooster'],[True],[170078],['A']
1354,['4-170247-A-12.wav'],4,[2],['crackling_fire'],[True],[170247],['A']
1355,['4-170247-B-12.wav'],4,[2],['crackling_fire'],[True],[170247],['B']
1356,['4-171207-A-12.wav'],4,[2],['crackling_fire'],[True],[171207],['A']
1358,['4-171519-A-21.wav'],4,[9],['sneezing'],[True],[171519],['A']
1381,['4-175000-A-40.wav'],4,[5],['helicopter'],[True],[175000],['A']
1382,['4-175000-B-40.wav'],4,[5],['helicopter'],[True],[175000],['B']
1383,['4-175000-C-40.wav'],4,[5],['helicopter'],[True],[175000],['C']
1389,['4-175945-A-38.wav'],4,[1],['clock_tick'],[True],[175945],['A']
1394,['4-177250-A-10.wav'],4,[6],['rain'],[True],[177250],['A']
1399,['4-179984-A-38.wav'],4,[1],['clock_tick'],[True],[179984],['A']
1401,['4-180380-A-10.wav'],4,[6],['rain'],[True],[180380],['A']
1403,['4-181035-A-38.wav'],4,[1],['clock_tick'],[True],[181035],['A']
1404,['4-181286-A-10.wav'],4,[6],['rain'],[True],[181286],['A']
1406,['4-181563-A-12.wav'],4,[2],['crackling_fire'],[True],[181563],['A']
1411,['4-181865-A-38.wav'],4,[1],['clock_tick'],[True],[181865],['A']
1421,['4-182368-A-12.wav'],4,[2],['crackling_fire'],[True],[182368],['A']
1422,['4-182369-A-12.wav'],4,[2],['crackling_fire'],[True],[182369],['A']
1423,['4-182395-A-0.wav'],4,[4],['dog'],[True],[182395],['A']
1424,['4-182613-A-11.wav'],4,[8],['sea_waves'],[True],[182613],['A']
1425,['4-182613-B-11.wav'],4,[8],['sea_waves'],[True],[182613],['B']
1428,['4-183487-A-1.wav'],4,[7],['rooster'],[True],[183487],['A']
1431,['4-183992-A-0.wav'],4,[4],['dog'],[True],[183992],['A']
1434,['4-184434-A-21.wav'],4,[9],['sneezing'],[True],[184434],['A']
1435,['4-184575-A-0.wav'],4,[4],['dog'],[True],[184575],['A']
1436,['4-185415-A-21.wav'],4,[9],['sneezing'],[True],[185415],['A']
1437,['4-185575-A-20.wav'],4,[3],['crying_baby'],[True],[185575],['A']
1438,['4-185575-B-20.wav'],4,[3],['crying_baby'],[True],[185575],['B']
1439,['4-185575-C-20.wav'],4,[3],['crying_baby'],[True],[185575],['C']
1441,['4-185619-A-21.wav'],4,[9],['sneezing'],[True],[185619],['A']
1456,['4-188033-A-38.wav'],4,[1],['clock_tick'],[True],[188033],['A']
1481,['4-191327-A-38.wav'],4,[1],['clock_tick'],[True],[191327],['A']
1482,['4-191687-A-0.wav'],4,[4],['dog'],[True],[191687],['A']
1484,['4-192236-A-0.wav'],4,[4],['dog'],[True],[192236],['A']
1485,['4-193480-A-40.wav'],4,[5],['helicopter'],[True],[193480],['A']
1486,['4-193480-B-40.wav'],4,[5],['helicopter'],[True],[193480],['B']
1489,['4-194711-A-38.wav'],4,[1],['clock_tick'],[True],[194711],['A']
1490,['4-194754-A-0.wav'],4,[4],['dog'],[True],[194754],['A']
1496,['4-195497-A-11.wav'],4,[8],['sea_waves'],[True],[195497],['A']
1497,['4-195497-B-11.wav'],4,[8],['sea_waves'],[True],[195497],['B']
1514,['4-198965-A-38.wav'],4,[1],['clock_tick'],[True],[198965],['A']
1515,['4-199261-A-0.wav'],4,[4],['dog'],[True],[199261],['A']
1529,['4-204618-A-11.wav'],4,[8],['sea_waves'],[True],[204618],['A']
1540,['4-207124-A-0.wav'],4,[4],['dog'],[True],[207124],['A']
1541,['4-208021-A-1.wav'],4,[7],['rooster'],[True],[208021],['A']
1588,['4-59579-A-20.wav'],4,[3],['crying_baby'],[True],[59579],['A']
1589,['4-59579-B-20.wav'],4,[3],['crying_baby'],[True],[59579],['B']
1617,['5-151085-A-20.wav'],5,[3],['crying_baby'],[True],[151085],['A']
1642,['5-170338-A-41.wav'],5,[0],['chainsaw'],[True],[170338],['A']
1643,['5-170338-B-41.wav'],5,[0],['chainsaw'],[True],[170338],['B']
1645,['5-171653-A-41.wav'],5,[0],['chainsaw'],[True],[171653],['A']
1652,['5-177957-A-40.wav'],5,[5],['helicopter'],[True],[177957],['A']
1653,['5-177957-B-40.wav'],5,[5],['helicopter'],[True],[177957],['B']
1654,['5-177957-C-40.wav'],5,[5],['helicopter'],[True],[177957],['C']
1655,['5-177957-D-40.wav'],5,[5],['helicopter'],[True],[177957],['D']
1656,['5-177957-E-40.wav'],5,[5],['helicopter'],[True],[177957],['E']
1671,['5-181766-A-10.wav'],5,[6],['rain'],[True],[181766],['A']
1680,['5-185579-A-41.wav'],5,[0],['chainsaw'],[True],[185579],['A']
1681,['5-185579-B-41.wav'],5,[0],['chainsaw'],[True],[185579],['B']
1683,['5-186924-A-12.wav'],5,[2],['crackling_fire'],[True],[186924],['A']
1687,['5-187979-A-21.wav'],5,[9],['sneezing'],[True],[187979],['A']
1691,['5-188655-A-10.wav'],5,[6],['rain'],[True],[188655],['A']
1695,['5-189212-A-12.wav'],5,[2],['crackling_fire'],[True],[189212],['A']
1696,['5-189237-A-12.wav'],5,[2],['crackling_fire'],[True],[189237],['A']
1698,['5-191131-A-40.wav'],5,[5],['helicopter'],[True],[191131],['A']
1701,['5-193339-A-10.wav'],5,[6],['rain'],[True],[193339],['A']
1702,['5-193473-A-12.wav'],5,[2],['crackling_fire'],[True],[193473],['A']
1703,['5-193473-B-12.wav'],5,[2],['crackling_fire'],[True],[193473],['B']
1704,['5-194533-A-21.wav'],5,[9],['sneezing'],[True],[194533],['A']
1705,['5-194892-A-10.wav'],5,[6],['rain'],[True],[194892],['A']
1710,['5-194930-A-1.wav'],5,[7],['rooster'],[True],[194930],['A']
1711,['5-194930-B-1.wav'],5,[7],['rooster'],[True],[194930],['B']
1716,['5-195710-A-10.wav'],5,[6],['rain'],[True],[195710],['A']
1726,['5-198321-A-10.wav'],5,[6],['rain'],[True],[198321],['A']
1728,['5-198411-A-20.wav'],5,[3],['crying_baby'],[True],[198411],['A']
1729,['5-198411-B-20.wav'],5,[3],['crying_baby'],[True],[198411],['B']
1730,['5-198411-C-20.wav'],5,[3],['crying_baby'],[True],[198411],['C']
1731,['5-198411-D-20.wav'],5,[3],['crying_baby'],[True],[198411],['D']
1732,['5-198411-E-20.wav'],5,[3],['crying_baby'],[True],[198411],['E']
1733,['5-198411-F-20.wav'],5,[3],['crying_baby'],[True],[198411],['F']
